Time,avg,min,max
2015-05-16 00:00:00 UTC,150.9996867,151,150.9859
2015-05-17 00:00:00 UTC,150.9545285,150.9859,150.91921
2015-05-18 00:00:00 UTC,150.8090973,150.91921,150.725548
2015-05-19 00:00:00 UTC,150.659068,150.725548,150.599256
2015-05-20 00:00:00 UTC,150.599256,150.599256,150.599256
2015-05-21 00:00:00 UTC,150.599256,150.599256,150.599256
2015-05-22 00:00:00 UTC,149.76322,151.64886,149.03634
2015-05-23 00:00:00 UTC,151.8072188,153,151.64886
2015-05-24 00:00:00 UTC,152.5747545,153.45,149.03634
2015-05-25 00:00:00 UTC,153.45,153.45,153.45
2015-05-26 00:00:00 UTC,153.474183,153.4763612,153.45
2015-05-27 00:00:00 UTC,153.5645426,153.6,153.4763612
2015-05-28 00:00:00 UTC,153.6577645,153.72,152
2015-05-29 00:00:00 UTC,153.8230313,153.939833,153.72
2015-05-30 00:00:00 UTC,153.939833,153.939833,153.939833
2015-05-31 00:00:00 UTC,154.0044818,154.136412,153.939833
2015-06-01 00:00:00 UTC,154.3105315,154.5,154.136412
2015-06-05 00:00:00 UTC,149.0261376,149.03634,149.0159352
2015-06-06 00:00:00 UTC,148.9254578,149.0159352,148.818131
2015-06-07 00:00:00 UTC,148.701659,148.818131,148.4828157
2015-06-08 00:00:00 UTC,148.5167596,148.96249,148.28083
2015-06-09 00:00:00 UTC,148.9233516,148.96249,148.7546148
2015-06-10 00:00:00 UTC,148.9456186,148.949544,148.877603
2015-06-11 00:00:00 UTC,148.877603,148.877603,148.877603
2015-06-12 00:00:00 UTC,148.877603,148.877603,148.877603
2015-06-13 00:00:00 UTC,148.8762239,148.877603,148.8745
2015-06-14 00:00:00 UTC,148.8745,148.8745,148.8745
2015-06-15 00:00:00 UTC,151.4381351,151.8,151.165
2015-06-16 00:00:00 UTC,158.5747366,162,151.254
2015-06-17 00:00:00 UTC,160.3089707,161.68709,159.394129
2015-06-18 00:00:00 UTC,160.2126247,160.3289,160.1097
2015-06-19 00:00:00 UTC,159.7482317,161.0267,159.1784
2015-06-20 00:00:00 UTC,158.9698251,159.1784,158.586733
2015-06-21 00:00:00 UTC,156.6321449,158.586733,153.626
2015-06-22 00:00:00 UTC,154.1575143,154.6848668,153.34454
2015-06-23 00:00:00 UTC,154.6848668,154.6848668,154.6848668
2015-06-24 00:00:00 UTC,153.955458,154.8105334,153.2600475
2015-06-25 00:00:00 UTC,153.2418029,153.2600475,153.236688
2015-06-26 00:00:00 UTC,153.236688,153.236688,153.236688
2015-06-27 00:00:00 UTC,153.9735473,155.049,153.1
2015-06-28 00:00:00 UTC,154.0313625,155.049,152.9349
2015-06-29 00:00:00 UTC,159.7618911,162.58,152.91354
2015-06-30 00:00:00 UTC,166.0771071,169.16466,161.0820527
2015-07-01 00:00:00 UTC,164.0464624,164.9008915,163
2015-07-02 00:00:00 UTC,165.3535869,166.7,164.9487285
2015-07-03 00:00:00 UTC,164.0248858,164.9487285,163.70739
2015-07-04 00:00:00 UTC,163.70739,163.70739,163.70739
2015-07-05 00:00:00 UTC,169.7715458,174.8291074,164.711
2015-07-06 00:00:00 UTC,174.2250628,175.55726,173
2015-07-07 00:00:00 UTC,172.926729,174.22,172.1185
2015-07-08 00:00:00 UTC,174.2668748,175.5776888,172.1185
2015-07-09 00:00:00 UTC,172.3122545,175.6367,170.73
2015-07-10 00:00:00 UTC,184.5894715,190.3339838,170.73
2015-07-11 00:00:00 UTC,190.0462195,192.3535462,189.3654971
2015-07-12 00:00:00 UTC,198.1124129,203.043,190.49
2015-07-13 00:00:00 UTC,184.750212,184.750212,184.750212
2015-07-15 00:00:00 UTC,186.4135906,187.2808621,184.9720713
2015-07-16 00:00:00 UTC,183.5625067,186.8366712,179.3161242
2015-07-17 00:00:00 UTC,179.4267251,180.4299387,176.4160205
2015-07-18 00:00:00 UTC,178.6785044,179.2692155,176.5371679
2015-07-19 00:00:00 UTC,174.9793022,178.2140659,174.3716142
2015-07-20 00:00:00 UTC,175.9435734,177.2293355,174.3198037
2015-07-21 00:00:00 UTC,178.5873794,180.4805659,176.3480472
2015-07-22 00:00:00 UTC,178.2487918,179.2970326,177.0809317
2015-07-23 00:00:00 UTC,177.9925869,178.6622662,176.9414387
2015-07-24 00:00:00 UTC,182.6906086,186.6396473,177.7229828
2015-07-26 00:00:00 UTC,188.8593407,188.8593407,188.8593407
2015-07-27 00:00:00 UTC,188.4069248,191.6139289,184.5413671
2015-07-28 00:00:00 UTC,189.2615172,191.0499175,187.6660315
2015-07-29 00:00:00 UTC,186.1648819,188.9231496,184.0593649
2015-07-30 00:00:00 UTC,184.5624866,186.3961141,182.912003
2015-07-31 00:00:00 UTC,182.4859031,185.6518059,180.7576941
2015-08-01 00:00:00 UTC,179.40251,181.7221196,177.1028883
2015-08-02 00:00:00 UTC,179.3345565,181.3530097,176.9290534
2015-08-03 00:00:00 UTC,181.4381809,183.4775781,178.8243151
2015-08-04 00:00:00 UTC,182.3981229,183.7515722,180.2265945
2015-08-05 00:00:00 UTC,181.0969474,184.1247666,179.7505995
2015-08-06 00:00:00 UTC,179.5881801,180.8958686,178.5845283
2015-08-07 00:00:00 UTC,179.8366067,181.7172113,177.4164408
2015-08-08 00:00:00 UTC,175.7982839,180.6438686,168.4482671
2015-08-09 00:00:00 UTC,170.6256558,172.9170324,168.46761
2015-08-10 00:00:00 UTC,170.4932548,172.7990655,168.8431252
2015-08-11 00:00:00 UTC,171.260379,174.4689393,168.8431252
2015-08-12 00:00:00 UTC,172.1040086,175.1410679,169.965064
2015-08-13 00:00:00 UTC,169.687275,171.3295796,168.1347813
2015-08-14 00:00:00 UTC,169.9960511,171.3315039,167.7809333
2015-08-15 00:00:00 UTC,169.4240327,171.4111437,166.3808473
2015-08-16 00:00:00 UTC,165.5518242,167.8588192,163.6492748
2015-08-17 00:00:00 UTC,165.270219,166.5310776,163.9413767
2015-08-18 00:00:00 UTC,161.3793858,165.174254,142.881
